ID,Name,photoUrl,Nationality,Age,OVA,POT,Club,Height,Weight,Preferred Foot,Best Position,Value ( € ),Wage ( € ),Release Clause ( € ),Skill,Movement,Power,Mentality,Composure,PAC,SHO,PAS,DRI,DEF,PHY
158023,L. Messi,https://cdn.sofifa.com/players/158/023/21_60.png,Argentina,33,93,93,FC Barcelona,170,72,Left,RW,103500000,560000,138400000,470,451,389,347,96,85,92,91,95,38,65
20801,Cristiano Ronaldo,https://cdn.sofifa.com/players/020/801/21_60.png,Portugal,35,92,92,Juventus,187,83,Right,ST,63000000,220000,75900000,414,431,444,353,95,89,93,81,89,35,77
200389,J. Oblak,https://cdn.sofifa.com/players/200/389/21_60.png,Slovenia,27,91,93,Atlético Madrid,188,87,Right,GK,120000000,125000,159400000,109,307,268,140,68,87,92,78,90,52,90
192985,K. De Bruyne,https://cdn.sofifa.com/players/192/985/21_60.png,Belgium,29,91,91,Manchester City,181,70,Right,CAM,129000000,370000,161000000,441,398,408,408,91,76,86,93,88,64,78
190871,Neymar Jr,https://cdn.sofifa.com/players/190/871/21_60.png,Brazil,28,91,91,Paris Saint-Germain,175,68,Right,LW,132000000,270000,166500000,448,453,357,356,93,91,85,86,94,36,59
188545,R. Lewandowski,https://cdn.sofifa.com/players/188/545/21_60.png,Poland,31,91,91,FC Bayern München,184,80,Right,ST,111000000,240000,132000000,407,407,420,391,88,78,91,78,85,43,82
209331,M. Salah,https://cdn.sofifa.com/players/209/331/21_60.png,Egypt,28,90,90,Liverpool,175,71,Left,RW,120500000,250000,144300000,406,460,393,376,90,93,86,81,90,45,75
212831,Alisson,https://cdn.sofifa.com/players/212/831/21_60.png,Brazil,27,90,91,Liverpool,191,91,Right,GK,102000000,160000,120300000,138,268,240,140,65,86,88,85,89,51,91
231747,K. Mbappé,https://cdn.sofifa.com/players/231/747/21_60.png,France,21,90,95,Paris Saint-Germain,178,73,Right,ST,185500000,160000,203100000,394,458,404,341,84,96,86,78,91,39,76
192448,M. ter Stegen,https://cdn.sofifa.com/players/192/448/21_60.png,Germany,28,90,93,FC Barcelona,187,85,Right,GK,110000000,260000,147700000,144,254,268,171,70,88,85,88,90,45,88
203376,V. van Dijk,https://cdn.sofifa.com/players/203/376/21_60.png,Netherlands,28,90,91,Liverpool,193,92,Right,CB,113000000,210000,145300000,363,354,402,347,90,76,60,71,71,91,86
208722,S. Mané,https://cdn.sofifa.com/players/208/722/21_60.png,Senegal,28,90,90,Liverpool,175,69,Right,LW,120500000,250000,144300000,391,460,406,358,84,94,85,80,90,44,76
